model,accuracy,time
Ada_Boost_Classifier,95.3,0
Ada_Boost_Classifier,84.48,1
Ada_Boost_Classifier,93.0,2
Ada_Boost_Classifier,81.49,3
Ada_Boost_Classifier,78.11,4
Ada_Boost_Classifier,95.3,5
Ada_Boost_Classifier,81.49,6
Ada_Boost_Classifier,84.48,7
Ada_Boost_Classifier,84.48,8
Ada_Boost_Classifier,95.3,9
Ada_Boost_Classifier,78.11,10
Ada_Boost_Classifier,84.48,11
Ada_Boost_Classifier,93.0,12
Ada_Boost_Classifier,74.27,13
Ada_Boost_Classifier,84.48,14
Ada_Boost_Classifier,93.0,15
Ada_Boost_Classifier,84.48,16
Ada_Boost_Classifier,95.3,17
Ada_Boost_Classifier,95.3,18
Ada_Boost_Classifier,81.49,19
Ada_Boost_Classifier,81.49,20
Ada_Boost_Classifier,78.11,21
Ada_Boost_Classifier,81.49,22
Ada_Boost_Classifier,84.48,23
Ada_Boost_Classifier,94.25,24
Ada_Boost_Classifier,74.27,25
Ada_Boost_Classifier,81.49,26
Ada_Boost_Classifier,81.49,27
Ada_Boost_Classifier,95.3,28
Ada_Boost_Classifier,94.25,29
Ada_Boost_Classifier,81.49,30
Ada_Boost_Classifier,84.48,31
Ada_Boost_Classifier,84.48,32
Ada_Boost_Classifier,81.49,33
Ada_Boost_Classifier,91.49,34
Ada_Boost_Classifier,84.48,35
Ada_Boost_Classifier,93.0,36
Ada_Boost_Classifier,84.48,37
Ada_Boost_Classifier,81.49,38
Ada_Boost_Classifier,81.49,39
Ada_Boost_Classifier,94.25,40
Ada_Boost_Classifier,74.27,41
Ada_Boost_Classifier,81.49,42
Ada_Boost_Classifier,84.48,43
Ada_Boost_Classifier,78.11,44
Ada_Boost_Classifier,78.11,45
Ada_Boost_Classifier,94.69,46
Ada_Boost_Classifier,84.48,47
Ada_Boost_Classifier,94.25,48
Ada_Boost_Classifier,81.49,49
Ada_Boost_Classifier,93.0,50
Ada_Boost_Classifier,81.49,51
Ada_Boost_Classifier,84.48,52
Ada_Boost_Classifier,81.49,53
Ada_Boost_Classifier,94.25,54
Ada_Boost_Classifier,84.48,55
Ada_Boost_Classifier,74.27,56
Ada_Boost_Classifier,81.49,57
Ada_Boost_Classifier,81.49,58
Ada_Boost_Classifier,84.48,59
Ada_Boost_Classifier,74.27,60
Ada_Boost_Classifier,81.49,61
Ada_Boost_Classifier,84.48,62
Ada_Boost_Classifier,81.49,63
Ada_Boost_Classifier,84.48,64
Ada_Boost_Classifier,81.49,65
Ada_Boost_Classifier,78.11,66
Ada_Boost_Classifier,84.48,67
Ada_Boost_Classifier,93.0,68
Ada_Boost_Classifier,81.49,69
Ada_Boost_Classifier,93.0,70
Ada_Boost_Classifier,81.49,71
Ada_Boost_Classifier,93.0,72
Ada_Boost_Classifier,81.49,73
Ada_Boost_Classifier,84.48,74
Ada_Boost_Classifier,81.49,75
Ada_Boost_Classifier,81.49,76
Ada_Boost_Classifier,93.0,77
Ada_Boost_Classifier,81.49,78
Ada_Boost_Classifier,78.11,79
Ada_Boost_Classifier,81.49,80
Ada_Boost_Classifier,84.48,81
Ada_Boost_Classifier,81.49,82
Ada_Boost_Classifier,81.49,83
Ada_Boost_Classifier,84.48,84
Ada_Boost_Classifier,91.49,85
Ada_Boost_Classifier,84.48,86
Ada_Boost_Classifier,81.49,87
Ada_Boost_Classifier,93.0,88
Ada_Boost_Classifier,94.25,89
Ada_Boost_Classifier,81.5,90
Ada_Boost_Classifier,81.49,91
Ada_Boost_Classifier,81.49,92
Ada_Boost_Classifier,93.0,93
Ada_Boost_Classifier,95.3,94
Ada_Boost_Classifier,91.49,95
Ada_Boost_Classifier,84.48,96
Ada_Boost_Classifier,95.3,97
Ada_Boost_Classifier,93.0,98
Ada_Boost_Classifier,84.48,99
Ada_Boost_Classifier,84.48,100
Ada_Boost_Classifier,95.3,101
Ada_Boost_Classifier,74.27,102
Ada_Boost_Classifier,74.27,103
Ada_Boost_Classifier,74.27,104
Ada_Boost_Classifier,69.8,105
Ada_Boost_Classifier,81.49,106
Ada_Boost_Classifier,93.0,107
Ada_Boost_Classifier,81.49,108
Ada_Boost_Classifier,81.49,109
Ada_Boost_Classifier,81.49,110
Ada_Boost_Classifier,74.27,111
Ada_Boost_Classifier,93.0,112
Ada_Boost_Classifier,74.27,113
Ada_Boost_Classifier,93.0,114
Ada_Boost_Classifier,91.49,115
Ada_Boost_Classifier,74.27,116
Ada_Boost_Classifier,93.0,117
Ada_Boost_Classifier,74.27,118
Ada_Boost_Classifier,93.0,119
Ada_Boost_Classifier,81.49,120
Ada_Boost_Classifier,95.3,121
Ada_Boost_Classifier,78.11,122
Ada_Boost_Classifier,84.48,123
Ada_Boost_Classifier,84.48,124
Ada_Boost_Classifier,81.49,125
Ada_Boost_Classifier,78.11,126
Ada_Boost_Classifier,81.49,127
Ada_Boost_Classifier,74.27,128
Ada_Boost_Classifier,91.48,129
Ada_Boost_Classifier,81.49,130
Ada_Boost_Classifier,95.3,131
Ada_Boost_Classifier,78.11,132
Ada_Boost_Classifier,78.11,133
Ada_Boost_Classifier,81.49,134
Ada_Boost_Classifier,95.3,135
Ada_Boost_Classifier,81.49,136
Ada_Boost_Classifier,95.66,137
Ada_Boost_Classifier,78.11,138
Ada_Boost_Classifier,93.0,139
Ada_Boost_Classifier,84.48,140
Ada_Boost_Classifier,81.49,141
Ada_Boost_Classifier,84.48,142
Ada_Boost_Classifier,81.49,143
Ada_Boost_Classifier,81.5,144
Ada_Boost_Classifier,93.0,145
Ada_Boost_Classifier,91.48,146
Ada_Boost_Classifier,91.49,147
Ada_Boost_Classifier,81.49,148
Ada_Boost_Classifier,81.49,149
